,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine,toilets:wheelchair,image,image2,bus,railway,public_transport,PublicTraffic,What
100,25.0482955020455,32.8480097242906,الكوم الأحمر,The red pile,مواقع ما قبل الأسرات,محافظة أسوان,"الكوم الأحمر، سابقاً نخن، هيراكونبوليس، هي من أقدم مدن مصر القديمة. توجد في الصعيد بين مدينتي إسنا وإدفو على الجانب الغربي للنيل . يعود تاريخها إلى ما قبل الأسرة الأولى حيث كانت مقرا لأمراء وملوك مصر العليا بين السنوات 3800 إلى 2600 قبل الميلاد.",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/227533_Large_20140506035041_21.jpg',,,,,,
101,25.0859411909856,33.1624256137205, بير ام تينيديا,Bear OM Tinydia,مواقع ما قبل الأسرات,محافظة أسوان,"يقع بير أم تينيديا بالظهير الصحراوى لمركز ادفو بمحافظة أسوان فى مفترق طريق وادى هلال المؤدى إلى الطريق الشرقى الشمالى الجنوبى والمتفرغ  من وادى شهاب وتمثل موقعاً أثريااً كبيراً وهاماً فى منطقة الصحراء الشرقية وهى معروفة بالواحة المفقودة أو البئر القديم وحالياًبير أم تينديا والذى كان يعتقد قديماً أنها خالية من أى دفنات أو شواهد تاريخية وقد عثرت البعثة الأثرية المصرية الأمريكية على عدد من اللوحات الصخرية لنقوش ورسومات بارزة تعود لعصر ما قبل الاسرات نحو 4000 ق,م",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/tttttttttt.png',,,,,,
102,25.1568262543678,32.7126190460265,هرم الكولا,Cola pyramid,مواقع ما قبل الأسرات,محافظة أسوان,"هرم الكولا هو هرم أثري يقع في مدينة البصيلية في محافظة أسوان، مصر. يعتقد الباحثون أن تاريخ بناء هذا الهرم يعود الى عهد الأسرة الثالثة في الألفية الثالثة قبل الميلاد. يعتبر الهرم واحداً من سبعة أهرامات صغيرة تقع قرب هيراكونبوليس القديمة (نخن).",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/cola.jpeg',,,,,,
143,26.3648235660272,31.9025290267346,نجع الدير,Naga eldeer,مواقع ما قبل الأسرات,محافظة سوهاج,"نجع الدير هي قرية قالة جرجا على الضفة الشرقية لنهر النيل بمركز دار السلام بمحافظة سوهاج، وتقع بالقرب منها مجموعة من الجبانات من عصور مختلفة منذ اعصر ما قبل الأسرات وحتى نهاية الدولة الحديثة، وتقع جبانة عصر ما قبل الأسرات في الجزء الجنوبي من جبانة نجع الدير، وتعود معظم الدفنات لعصر العمرة (عصر حضارة نقادة الأولى)، وكانت حفر الدفن إما بيضاوية أو مستطيلة وضمت أجساد في وضع القرفصاء، وقد تم التنقيب عنها من قبل عالم المصريات الأمريكي جورج ريزنز بين عامي 1901 و1924 حيث قضى ريزر العديد من الفصول في العمل بمقابر المملكة القديمة في العشرينات، وقد قدمت مقبرة نجع الدير قدراً كبيراً من المعلومات حول تطور المقابر من هذه الفترة وعادات الدفن بشكل عام، فربما كانت نجع الدير المقبرة الرئيسية في منطقة أبيدوس قبل التخلي عنها في فترة ما قبل الأسرات المتأخرة، ثم تجديده في فترة الاسرة الحاكمة المبكرة والمملكة القديمة.",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,,,,,,,
144,26.3569669804114,31.8068797347845,المساعيد ,Al Masaeed,مواقع ما قبل الأسرات,محافظة سوهاج,,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,,,,,,,
145,26.2748219502149,31.8427198725277,المحاسنة,Al Mahasna,مواقع ما قبل الأسرات,محافظة سوهاج,"هي إحدى قرى مركز جرجا بمحافظة سوهاج، وتقع غرباً على امتداد صحراء أبيدوس الأثرية وقد عثر بها على بعض الأواني الفخارية والألواح ما عثر بها على جبانات ما قبل التاريخ والأسرات، فتعد هذه المنطقة من أشهر مناطق آثار ما قبل التاريخ بل أن هناك مؤلف كتبه جار استانج باسم هذه القرية يؤكد فيها انتمائها لتلك الفترة السحيقة.",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,,,,,,,
146,26.1776288134411,31.9079826232800,أم الجعاب,om ElGeab,مواقع ما قبل الأسرات,محافظة سوهاج,"هي جبانة موجودة شرق مقابر الملوك في أبيدوس بمركز البلينا محافظة سوهاج، عثر فيها على 650 مقبرة لقدماء المصريين وترجع القبور الموجودة فيها لى عصر ما قبل الأسرات وعهدى الأسرة الأولي والثانية، وقد تغيرت صفة جبانة أم الجعاب من جبانة بسيطة كان يدفن فيها المصريون القدماء من عصر نقادة لاحتوائها على قبور وأعيان من عهدى نقادة الثانيةة، وكان أهم الكدفونين فيها هلال عصر نقادة الثلاثة هو الفرعون العقرب وكان ذلك بدء استخدام منطقة أم الجعاب كمنطقة لدفن ملوك وأمراء عصر ما قبل الأسرات حتى انتهت خلال عصر الأسرة الثالثة.",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/je33ab.jpg',,,,,,
161,26.0186888657307,32.2801910518481,هو,Hu,مواقع ما قبل الأسرات,محافظة قنا,هى إحدى قرى مركز نجع حمادى بمحافظة قنا وتقع جنوب نجع حمادى بحوالى 5من وعلى بعد 50 كم شمال غرب قنا وقد عثر فى الحفائر التى أجراها عالمى اآثار بترى وكيوبيل عام 1884م فى صحراء هو على هياكل بشرية وتماثيل واوانى فخارية وأدوات زينة ترجع إلى العصر الحجرى الحديث وتماثيل تمثل تماثيل العبيد والأثرى ترجع إلى أوائل عصر الأسرات وتشير الدلائل ان المدينة كانت مزدهرت فى ذلك الوقت وأثناء حكم الاسؤة السادسة كانت قاعدة الأقليم ,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/hu.jpg',,,,,,
162,26.1391689720557,31.9869691960016,العمرة,Umrah,مواقع ما قبل الأسرات,محافظة قنا,تقع العمرة جنوب ششرق أبيدوس بمركز أبو تشت بمحافظة قنا وتعتبر من أهم مواقع عصر ما قبل الأسرات فى مصر حيث كسف فيها عن مجموعة من الدفنات ومستوطنة وجبانة ترجع إلى عصر نقادى الأولى والثانية ومجموعة من الدفنات فى حفر بيضاوية ضمت الكثير من الأثاثا الجنائزى  ,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/hu.jpg',,,,,,
163,25.9015097357562,32.7223379615816,حضارة نقادة,Naqada ,مواقع ما قبل الأسرات,محافظة قنا,نقادة هى إحدى مراكز محافظة قنا وتقع على الشاطى الغربى لنهر النيل وتبعد عن مدينة قنا 31كم جنوباً وعن الأقصر 25كم شمالاً وهى من أهم مواقع العصور ما قبل التاريخ حيث لها حضارة فرعونية وقد قسمها العلماء إلى ثلاثة أحقاب حضارية متميزة إلى نقادة الأولى والثانية والثالثة,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/nakada.png',,,,,,
164,25.9440526094351,32.7092189514321,طواقى فرعون,Tawakey Pharaoh,مواقع ما قبل الأسرات,محافظة قنا,توجد طوواقى فرعون فى حاجر كوم بلال بقرية طوخ شمالى مركز نقادة بمحافظة قنا وهى عبارة عن مغارات جبلية وكهوف قديمة محفورة فى باطن الجبل وبداخلها حجرة للدفن ربما تعود فى أصولها إلى عصور ما قبل التاريخ ويشير البعض إلى أنها بقايا لمعبد الإله ست المعبود الرئيسى لامبوس وتتكون الطواقى من 4 فتحات تتوسط أحد الجبال ويبلغ طولها 10م ,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/twakey.jpg',,,,,,
166,25.8134098109867,34.2372077119887,منطقة وادى سكيت,Skeet Valley area, العصر اليونانى والرومانى والبيزنطى,محافظة البحر الأحمر,"علي بعد 270 كليو مترًا جنوبي مدينة الغردقة وتحديدًا بمدينة مرسي علم غرب محمية وادي الجمال يقع ذلك المعبد الأشهر والأهم لدي الأُسرالفرعونية بالبحر الأحمر قديمًا، ثم من بعدهم الرومان، ليأتي ذلك المعبد ضمن أهم وأشهر المناطق المستخدمة في استخراج المعادن النفيسة والنادرة مثل الزمرد والذهب وغيرها من الأحجار النادرة.منطقة وادي سكيت تعتبر أحد وديان صحراء عيذاب الواقعة جنوب مصر، المنطقة أثرية تقع غرب محمية وادى الجمال جنوب مدينة مرسى علم بمحافظة البحر الأحمر، وتقع شرق طريق قفط القصير بحوالى 48 كم حيث كانت أحد محطات القوافل التجارية الفرعونية القديمة .  ⁦▪️تم استغلال المنطقة من قبل الفراعنة في المناجم المختلفة بهذة المنطقة لإحتوائها على أحجار نفيسة حيث أكتشف الفراعنة هناك حجر الزمرد الكريم الهرمى الشكل واستخرجوا منه كميات كبيرة، وقاموا ببناء معبد لحورس ولم يتبق منه شيء مع مرور الأيام.  ⁦▪️عند قدوم الرومان استخدموا تلك المنطقة فى استخراج حجر الزمرد من نفس المكان، وشيدوا به معبدا مصغرا وسط الجبل يسمى معبد سكيت أو سرابيس الرومانى ويقال إنه شبيه لقصة إيزيس وأوزوريس الفرعونية، كما كان يشتهر أن الرومان كان يقلدون الفراعنة.  ⁦▪️المعبد منحوت فى صخور المنطقة وهي من نوعية الصخور الفوق مافيه (السربنتينيت والتلك)، يقع على عمق ٥٠ كم من بداية وادى الجمال، تم إنشاء المعبد للعمال الرومان ليكن لهم كدور عبادة بالقرب من منازلهم، حيث تنتشر أطلال لبيوت العمال من الحجر حول المعبد، المعبد أنشأ فى داخل طية مقعرة حيث أن التكوين الجيولوجي لصخور المنطقه عبارة عن تتابع لمجموعه من الطيات المقعرة والمحدبة.  ⁦▪️في عام ٢٠٠٣م جاءت بعثة هولندية بها جنسيات متعددة لإستكشاف تلك المنطقة، البعثة أجرت بحوثاً ودرسوا المنطقة كما أجروا بعض عمليات حفر وتنقيب عن كل شىء كان موجوداً فى المنطقة ليتم تحديد ووضع تصور كامل عن تفاصيل المنطقة، وكيف كانت تستخدم.  ⁦▪️المنطقة حتى بدايات ثمانينات القرن الماضى كان يعيش فيها «أسود، ونمور، ونعام»، وغيرها من الحيوانات التى لم تعد تعيش فيها حالياً بسبب الجفاف الذى يوجد بها خلال فصل الصيف. يعد من أهم المزارات السياحية بمرسي علم وأقدمها، حيث كان يستخدم وادي “سكيت” كممر تجاري قبل اكتشافه وتحديده لاستخراج المعادن النادرة والثمينة، بعدما اكتشف الفراعنة أن المكان يحتوي علي حجر الزمرد الكريم والذي تم استخرجه منه بكميات كبيرة.استخدم الرومانيون تلك المنطقة فى استخراج الأحجار الكريمة، ليشيدوا بعد ذلك معبد “سرابيس” بالقرب منه  واستخدامه كمقر لهم في تلك المنطقة.",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/skeitt.jpg',,,,,,
167,26.8107870833419,33.4873380950322,مدينة موناس كلوديانس,Monas Claudians City, العصر اليونانى والرومانى والبيزنطى,محافظة البحر الأحمر,"المدينة تم إنشاءها والعمل بها خلال فترة الحكم الروماني لمصر (الإحتلال الروماني لمصر من سنة ٣٠ق.م حتى سنة ٦٤١م).  تم اكتشاف مونس كلوديانوس في التجاويف البعيدة للصحراء الشرقية من صعيد مصر لأول مرة في عام ١٨٢٣ من قبل ويلكنسون وبورتون . منذ ذلك الحين تمت زيارتها من قبل سلسلة من المستكشفين وعلماء الآثار وبلغت ذروتها في البعثات الألمانية عام ١٩٦١ و ١٩٦٤. سجل العديد من هؤلاء الزوار ملاحظاتهم بحيث يكون هناك قدر كبير من المعلومات المنشورة ، وفي الواقع تظل التقارير الألمانية النموذجية بعد ربع قرن مصدرًا رئيسيًا لدراسة المحاجر الرومانية. منذ ذلك الحين لم يحظ الموقع إلا بالقليل نسبيًا من الاهتمام الأكاديمي ولكن في عام ١٩٨٥ زارته مجموعة من علماء البردي المشاركين في فهرسة المجموعات في متحف القاهرة.  تعتبر المدينة من أقدم وأهم المحاجر فى الصحراء الشرقية على الإطلاق. وتقع في منتصف الطريق بين البحر الأحمر وقنا وتبعد قرابة 45 كم جنوب غرب مدينة سفاجا علي طريق سوهاج البحر الأحمر ،وتعد أهم محجر رومانى لإنتاج الأحجار والأعمدة الضخمة الذى يسمى بالحجر الملكى، والذى شيد منه جميع معابد الرومان العظيمة. المدينة فى الأصل هى عبارة عن منازل بدائية، وحمامات عامة وصوامع غلال لعمال أكبر محجر رومانى لاستخراج الحجر الملكى الذى بنيت منه أغلب معابد الرومانية. ويعتقد ان الرومان كانوا ينقلون الأعمدة الملكية بعد نقشها ونحتها من تلك المنطقة إلى روما من خلال محطات عدة تبدأ أولها من المدينة إلى نهر النيل بعربات ذات عجلات تجرها ثيران ضخمه.",السياحة الأثرية والتاريخية,,,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/P1250057.JPG',,,,,,
514,25.6995330082869,32.6390538582314,معبد الاقصر,Luxor temple,عصر الدولة القديمة,محافظة الأقصر,"معبد الأقصر معبد كبير من المعابد المصرية القديمة المعقدة يقع على الضفة الشرقية لنهر النيل في مدينة الأقصر اليوم المعروفة باسم. تأسس سنة 1400 قبل الميلاد. شُيد معبد الأقصر لعبادة آمون رع وزوجته موت وابنهما خونسو؛ وهي الآرباب التي يطلق عليها أيضا لقب الثالوث الطيبي. لم يكن معبد الأقصر مثل معظم المعابد المصرية القديمة الأخرى على محور شرق-غرب، ولكنه موجه نحو الكرنك، هذا لأن معبد الأقصر كان المكان الرئيسي لأحد أهم الاحتفالات الدينية المصرية القديمة حين كان يتم نقل تماثيل كل من المعبودات آمون وزوجته موت وابنهما رب القمر خونسو من معابدهم في الكرنك في موكب مهيب إلى معبد الأقصر حتى يتمكنوا من زيارة المعبود المقيم هناك آمون إم أوبت وهو الاحتفال المعروف باسم عيد الأوبت.",السياحة الثقافية,,,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/Luxor%20temple.jpg',,,,,,
522,25.6952297240547,32.5784975844482,معبد دير الشلويط,Deir El Shelwit, العصر اليونانى والرومانى والبيزنطى,محافظة الأقصر," دير الشلويط ‏ معبد مصري قديم لإيزيس من العصر اليوناني الروماني. يقع على الضفة الغربية لنهر النيل في الأقصر، على بعد 1 كيلومتر من الملقطة، وحوالي 4 كيلومتر جنوب مدينة هابو. ما تبقى حاليا من المعبد هو المبنى الرئيسي الصغير وأطلال المدخل، إلى جانب جدار من الطوب وبئر.",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/2020-12-24.jpg',,,,,,
55,25.7213331691437,32.6090268149657,تمثالا الملك أمنحتب الثالث,Statues of King Amenhotep III,عصر الدولة القديمة,محافظة الأقصر,"تمثالا ممنون، أي عملاقا ممنون، يعرفان محلياً باسم، عبارة عن تمثالين ضخمين، شُيدا حوالي سنة 1350 ق م، هما كل ما تبقى من معبد بُنيّ تخليداً لذكرى الفرعون أمنحتب الثالث، الذي حكم مصر خلال الأسرة الثامنة عشر، يقعا في مدينة طيبة الجنائزية، الواقعة غرب نهر النيل من مدينة الأقصر الحالية. ",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,تماثيل,src='https://github.com/nasser9008/masterpicture/blob/main/mamnoon.png',,,,,,
160,24.0841320228210,32.8932889452787,معبد ايزيس,Temple of Isis,عصر الدولة القديمة,محافظة قنا,"تبعد شنهور عن قنا حوالى 40 كم وعن قوص حوالى 7كم , ويرجع تاريخ المعبد الى العصر الرومانى , ويتكون المعبد من ثلاثة صالات وفناء امامى به بقايا قواعد اعمدة وخلفهم فناء المعبد الرئيسى وهناك حجرتين شرق قدس الاقداس وحجرة غربية , وشمالا يوجد سردابين ونجد قدس الاقداس الرئيسى به نقوش تمثل الامبراطور يتعبد للاله مين , حورس , تحت , امون رع , والهة اخرى",السياحة الأثرية والتاريخية,,معابد قديمة,مصر,تماثيل,src='https://github.com/nasser9008/masterpicture/blob/main/download.jpg',,,,,,
523,25.7184854068416,32.6582849564039,مسلة الملك تحتمس الأول,Obelisk of King Thutmose I,,محافظة الأقصر,,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,تماثيل,src='https://github.com/nasser9008/masterpicture/blob/main/220px-Obeslisk_karnak.jpg',,,,,,
524,25.7186149212201,32.6585752930895,مسلة حتشبسوت,Hatshepsut series,,محافظة الأقصر,,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,تماثيل,src='https://github.com/nasser9008/masterpicture/blob/main/2015-635871117248119115-811.jpg',,,,,,
525,25.7004085763294,32.6396944183796,مسلة رمسيس الثانى,Obelisk of Ramses II,,محافظة الأقصر,,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,تماثيل,src='https://github.com/nasser9008/masterpicture/blob/main/obelisk-in-front-of-the.jpg',,,,,,
